enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,hit_counter
8949,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,36,hit
29725,city_40,0.776,Male,No relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,47,hit
11561,city_21,0.624,,No relevent experience,Full time course,Graduate,STEM,5,,,never,83,hit
33241,city_115,0.789,,No relevent experience,,Graduate,Business Degree,<1,,Pvt Ltd,never,52,hit
666,city_162,0.767,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Funded Startup,4,8,not_hit
21651,city_176,0.764,,Has relevent experience,Part time course,Graduate,STEM,11,,,1,24,hit
28806,city_160,0.92,Male,Has relevent experience,no_enrollment,High School,,5,50-99,Funded Startup,1,24,not_hit
402,city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,<10,Pvt Ltd,>4,18,hit
27107,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1,46,hit
699,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,>4,123,hit
29452,city_21,0.624,,No relevent experience,Full time course,High School,,2,,,never,32,not_hit
23853,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,5000-9999,Pvt Ltd,1,108,hit
25619,city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,3,23,hit
5826,city_21,0.624,Male,No relevent experience,,,,2,,,never,24,not_hit
8722,city_21,0.624,,No relevent experience,Full time course,High School,,5,,,never,26,not_hit
6588,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,Oct-49,Pvt Ltd,>4,18,hit
4167,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,1,50-99,Pvt Ltd,never,106,hit
5764,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,2,5000-9999,Pvt Ltd,2,7,
2156,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,never,23,hit
11399,city_13,0.827,Female,Has relevent experience,no_enrollment,Graduate,Arts,4,,,1,132,hit
31972,city_159,0.843,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,1,68,not_hit
19061,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,2,50,not_hit
6491,city_102,0.804,,Has relevent experience,no_enrollment,Masters,STEM,10,,,1,48,not_hit
7041,city_40,0.776,Male,Has relevent experience,no_enrollment,Graduate,Humanities,<1,1000-4999,Pvt Ltd,1,65,hit
22767,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,1,13,hit
14505,city_67,0.855,,No relevent experience,no_enrollment,High School,,4,,,never,22,not_hit
17139,city_21,0.624,,Has relevent experience,Part time course,Graduate,STEM,14,500-999,Pvt Ltd,1,148,hit
28476,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,5,,,2,72,hit
21538,city_100,0.887,Male,Has relevent experience,no_enrollment,High School,,11,<10,Pvt Ltd,1,8,not_hit
10408,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,50-99,Funded Startup,2,68,hit
14928,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,3,40,hit
22293,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,19,5000-9999,Pvt Ltd,>4,141,hit
4324,city_103,0.92,Female,No relevent experience,Full time course,Graduate,STEM,5,,,1,24,hit
26966,city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,82,hit
26494,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,12,5000-9999,Pvt Ltd,3,145,hit
4866,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,Oct-49,Early Stage Startup,2,206,hit
12726,city_114,0.926,Male,No relevent experience,Part time course,High School,,1,10000+,Other,1,152,not_hit
10164,city_114,0.926,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,4,42,hit
8612,city_103,0.92,,No relevent experience,no_enrollment,Graduate,STEM,12,,,4,50,hit
24659,city_71,0.884,Male,No relevent experience,no_enrollment,,,3,,,never,106,not_hit
2547,city_114,0.926,Female,Has relevent experience,Full time course,Masters,STEM,16,1000-4999,Public Sector,2,14,not_hit
13854,city_104,0.924,Male,Has relevent experience,no_enrollment,High School,,4,Oct-49,Pvt Ltd,2,36,not_hit
31654,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Early Stage Startup,1,112,not_hit
13643,city_64,0.666,,No relevent experience,no_enrollment,Graduate,No Major,9,50-99,Pvt Ltd,never,108,hit
5590,city_21,0.624,Male,Has relevent experience,Part time course,Masters,STEM,9,5000-9999,Pvt Ltd,3,7,not_hit
22452,city_21,0.624,Female,No relevent experience,Full time course,Masters,STEM,5,,,never,26,not_hit
9006,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,never,87,hit
25987,city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,19,10000+,Public Sector,4,52,hit
4476,city_101,0.558,Male,Has relevent experience,no_enrollment,Graduate,No Major,15,,,>4,20,hit
25103,city_83,0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,Oct-49,Pvt Ltd,1,21,hit
5568,city_101,0.558,Male,No relevent experience,no_enrollment,Graduate,STEM,4,,,1,92,hit
2195,city_64,0.666,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,2,102,hit
30533,city_105,0.794,Male,No relevent experience,no_enrollment,Graduate,Humanities,5,10000+,Pvt Ltd,>4,26,hit
28512,city_104,0.924,,Has relevent experience,no_enrollment,Masters,STEM,3,<10,Early Stage Startup,2,7,not_hit
1023,city_114,0.926,Male,No relevent experience,Full time course,High School,,4,10000+,Pvt Ltd,1,43,not_hit
12253,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,45,hit
25296,city_73,0.754,Male,Has relevent experience,Full time course,Graduate,STEM,2,50-99,Early Stage Startup,2,52,hit
13238,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,2,19,hit
13478,city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,2,Oct-49,Funded Startup,,32,hit
18578,city_162,0.767,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,100-500,Pvt Ltd,>4,26,hit
29975,city_67,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6,,,1,90,hit
